city_name;city_type;city_description
Barcelona;TemperateDenseRich;Barcelona, in Spain’s Catalonia region, features a hot-summer Mediterranean climate with mild, humid winters (around 10°C) and warm summers (up to 29°C). Around 1.6 million people live in the city (~4.8 million in the metro). The economy revolves around tourism, services, and manufacturing. Estimated median annual income: ~EUR 20,000 (≈USD 22,000).
Tokyo;TemperateSuburbanRich;Tokyo, Japan’s capital, has a humid subtropical climate with hot, humid summers (up to 31°C) and mild winters (down to 5°C). Over 14 million people live in the city proper (~38 million in the metropolitan area). It’s a major global financial and technology hub. Estimated median annual income: ~USD 35,000.
Yakutsk;ContinentalSparsePoor;Yakutsk, the capital of the Sakha Republic (Russia), is known for its extremely cold subarctic climate with harsh winters that can drop below –40°C and short, mild summers. With a population of around 300,000, the local economy is largely based on mining, timber, and energy production. Estimated median annual income: ~USD 6,000.
Astana;ContinentalDensePoor;Astana (recently renamed Nur-Sultan), the capital of Kazakhstan, experiences a continental climate with very cold winters and hot summers. It has a population of roughly 1.0–1.2 million. The economy is driven by government, finance, construction, and energy sectors. Estimated median annual income: ~USD 8,000.
Novosibirsk;ContinentalSuburbanPoor;Novosibirsk, Russia’s third-largest city, features a continental climate with cold winters and warm summers. Home to approximately 1.6 million people, it serves as a major industrial, commercial, and educational hub in Siberia. Estimated median annual income: ~USD 7,000.
Winnipeg;ContinentalSparseMiddle;Winnipeg, the capital of Manitoba (Canada), has a humid continental climate marked by cold winters and warm summers. With a population of about 750,000, its diverse economy includes manufacturing, transportation, education, and government services. Estimated median annual income: ~CAD 60,000 (≈USD 45,000).
Berlin;ContinentalSuburbanMiddle;Berlin, the capital of Germany, enjoys a temperate oceanic/continental climate with mild to warm summers and cool winters. With around 3.8 million residents, its economy thrives on creative industries, technology, services, and manufacturing. Estimated median annual income: ~EUR 30,000 (≈USD 33,000).
Brussels;ContinentalSparseRich;Brussels, Belgium’s de facto capital and an EU hub, experiences a temperate maritime climate with mild winters and cool summers. The metropolitan area houses roughly 1.2 million people, and its economy is driven by international institutions, services, and technology. Estimated median annual income: ~EUR 32,000 (≈USD 35,000).
Beijing;ContinentalDenseRich;Beijing, the capital of China, features a monsoon-influenced humid continental climate with hot summers and cold winters. Its vast metropolitan area is home to over 21 million people, with an economy spanning government, technology, manufacturing, and services. Estimated median annual income: ~USD 16,000.
Moscow;ContinentalSuburbanRich;Moscow, Russia’s capital, has a humid continental climate with cold winters and warm summers. With a metropolitan population of around 12 million, its economy is centered on government, finance, technology, and manufacturing. Estimated median annual income: ~USD 8,000.
Barrow;PolarSparsePoor;Barrow (Utqiaġvik), Alaska’s northernmost city, endures an Arctic climate with extremely cold, long winters and short, cool summers. It has a small population of roughly 4,000, with an economy largely based on government services, subsistence activities, and limited tourism. Estimated median annual income: ~USD 40,000.
Norilsk;PolarDensePoor;Norilsk, located in northern Russia, features a subarctic climate with very cold winters and brief, cool summers. The city’s population is about 175,000, and its economy is heavily reliant on mining (notably nickel and palladium) and heavy industry. Estimated median annual income: ~USD 10,000.
Provideniya;PolarSuburbanPoor;Provideniya, a small port town in Russia’s Chukotka region, has an Arctic climate characterized by very cold winters and short, cool summers. With a population of around 1,200, its economy centers on fishing, port services, and local administration. Estimated median annual income: ~USD 5,000.
Anchorage;PolarSparseMiddle;Anchorage, the largest city in Alaska, experiences a subarctic climate with relatively mild winters (by Alaskan standards) and warm summers. Home to roughly 290,000 residents, its economy is supported by transportation, oil, military, and tourism. Estimated median annual income: ~USD 70,000.
Rovaniemi;PolarDenseMiddle;Rovaniemi, located in Finnish Lapland near the Arctic Circle, has a subarctic climate with cold, snowy winters and mild summers. With a population of about 63,000, the city’s economy benefits from tourism (including its association with Santa Claus), government services, and education. Estimated median annual income: ~EUR 30,000 (≈USD 33,000).
Helsinki;PolarSparseRich;Helsinki, Finland’s capital, features a cold temperate maritime climate with relatively mild winters and cool summers. Its population is approximately 650,000, and the economy is driven by technology, services, and maritime industries. Estimated median annual income: ~EUR 35,000 (≈USD 40,000).
Copenhagen;PolarDenseRich;Copenhagen, the capital of Denmark, enjoys a temperate oceanic climate with mild, windy winters and cool summers. The city proper has around 800,000 residents (with a metro population of about 2 million) and an economy focused on finance, shipping, tourism, and technology. Estimated median annual income: ~USD 60,000.
Reykjavik;PolarSuburbanRich;Reykjavik, Iceland’s capital, experiences a subpolar oceanic climate with cool summers and relatively mild winters for its latitude. With a population of around 131,000, its economy centers on tourism, fishing, and services. Estimated median annual income: ~USD 45,000.
